n_trees,max_depth,tournament_size,max_features,accuracy,precision,recall,f1
300,4,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,4,20,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,5,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,5,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,5,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,5,20,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,6,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,6,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,6,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
300,6,20,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,3,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,3,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,3,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,3,20,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,4,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,4,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,4,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,4,20,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,5,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,5,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,5,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,5,20,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,6,2,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,6,5,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,6,7,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676
500,6,20,5,0.6228070175438597,0.6228070175438597,1.0,0.7675675675675676

